,index,DayPrecip,DayAirTmpMin,DayAirTmpMax,DayEto,DayAirTmpAvg,DaySolRadAvg,DayWindSpdAvg,Eto_values,Kc_values,Etc_values,Etc_cum,Soil_Water_Deficit,Soil_Water_Deficit_cum
0,2018-01-01,0.0,33.1,63.1,0.03,46.4,154.0,1.5,0.04,0.6550649509733737,0.02620259803893495,0.02620259803893495,-0.02620259803893495,-0.02620259803893495
1,2018-01-02,0.0,35.7,60.5,0.02,49.0,87.0,1.9,0.02,0.6550649509733737,0.013101299019467475,0.039303897058402426,-0.013101299019467475,-0.039303897058402426
2,2018-01-03,0.05,42.7,57.5,0.01,51.1,45.0,2.2,0.01,0.6550649509733737,0.006550649509733737,0.045854546568136166,0.04344935049026626,0.004145453431863837
3,2018-01-04,0.01,51.6,63.1,0.02,56.5,106.0,3.0,0.03,0.6550649509733737,0.01965194852920121,0.06550649509733737,-0.00965194852920121,-0.005506495097337373
4,2018-01-05,0.24,51.9,60.1,0.0,55.5,55.0,1.6,0.01,0.6550649509733737,0.006550649509733737,0.0720571446070711,0.23344935049026624,0.22794285539292888
5,2018-01-06,0.0,36.2,59.6,0.04,48.1,203.0,1.9,0.04,0.6550649509733737,0.02620259803893495,0.09825974264600605,-0.02620259803893495,0.20174025735399392
6,2018-01-07,0.0,32.3,50.4,0.01,42.6,64.0,1.1,0.01,0.6550649509733737,0.006550649509733737,0.10481039215573978,-0.006550649509733737,0.19518960784426018
7,2018-01-08,1.95,47.2,56.4,0.0,52.0,21.0,3.5,0.0,0.6550649509733737,0.0,0.10481039215573978,1.95,2.14518960784426
8,2018-01-09,0.22,44.9,62.3,0.02,55.4,99.0,2.3,0.02,0.6550649509733737,0.013101299019467475,0.11791169117520726,0.20689870098053253,2.3520883088247926
9,2018-01-10,0.01,42.8,58.0,0.02,50.3,102.0,2.4,0.02,0.6550649509733737,0.013101299019467475,0.13101299019467474,-0.0031012990194674746,2.348987009805325
